bean_id,acidity,body,sweetness,bitterness,aroma,flavor,aftertaste,total_score,roast_level,flavor_tags,data_source,confidence_score
72.0,8,8,6,3,9,9,9,93,LIGHT,"[10304, 902, 20103, 20105, 70202]",EXTERNAL_CSV,0.9
73.0,9,9,7,2,9,9,9,95,LIGHT,"[80104, 20201, 10101, 10104, 90203]",EXTERNAL_CSV,0.9
74.0,8,9,7,3,8,9,8,92,LIGHT,"[803, 10403, 70201, 70103, 90201]",EXTERNAL_CSV,0.9
75.0,9,9,7,3,9,9,8,94,LIGHT,"[30305, 80104, 20105, 70201, 90203]",EXTERNAL_CSV,0.9
76.0,8,9,5,7,8,9,8,92,MEDIUM,"[40104, 40107, 10102, 70202, 50303]",EXTERNAL_CSV,0.9
77.0,8,8,7,2,9,9,8,92,LIGHT,"[50401, 10306, 10404, 80103, 20105, 70102, 70103, 90201]",EXTERNAL_CSV,0.9
78.0,9,8,6,2,9,9,8,93,LIGHT,"[20105, 10403, 70103]",EXTERNAL_CSV,0.9
79.0,9,9,6,3,9,9,8,94,LIGHT,"[10601, 20105, 70103, 10201, 70202]",EXTERNAL_CSV,0.9
80.0,9,9,6,6,9,9,8,94,MEDIUM,"[80101, 20101, 10103, 70202, 10205]",EXTERNAL_CSV,0.9
81.0,8,8,7,3,9,9,8,92,LIGHT,"[80104, 20105, 70201, 90202, 10303]",EXTERNAL_CSV,0.9
82.0,8,9,6,2,8,9,8,92,LIGHT,"[20105, 10402, 90202, 10101]",EXTERNAL_CSV,0.9
83.0,9,9,8,3,9,9,8,94,LIGHT,"[80101, 80102, 20105, 70202, 10303]",EXTERNAL_CSV,0.9
84.0,9,9,6,3,9,9,8,94,LIGHT,"[902, 20103, 20104, 70202, 10303]",EXTERNAL_CSV,0.9
85.0,9,9,7,3,9,9,8,94,LIGHT,"[10402, 10403, 80102, 20105, 70201]",EXTERNAL_CSV,0.9
86.0,9,8,7,2,9,9,9,94,LIGHT,"[10403, 80102, 20105, 90202, 10303]",EXTERNAL_CSV,0.9
87.0,8,9,7,3,8,9,8,92,LIGHT,"[80104, 10201, 70202]",EXTERNAL_CSV,0.9
88.0,9,9,6,3,9,9,9,95,LIGHT,"[10401, 10101, 70103, 70201, 90203]",EXTERNAL_CSV,0.9
89.0,8,9,7,3,9,9,8,93,LIGHT,"[801, 20105, 70102, 10103, 70201]",EXTERNAL_CSV,0.9
90.0,9,8,5,6,9,9,8,93,MEDIUM,"[902, 20105, 201, 70202, 10301]",EXTERNAL_CSV,0.9
91.0,8,9,7,2,9,9,8,93,LIGHT,"[10401, 30305, 80103, 10101, 10201]",EXTERNAL_CSV,0.9
92.0,8,8,8,3,9,9,8,92,LIGHT,"[80103, 80104, 20105, 70103, 70202]",EXTERNAL_CSV,0.9
93.0,8,8,8,2,9,9,8,92,LIGHT,"[80101, 80103, 20105, 70103, 90202]",EXTERNAL_CSV,0.9
94.0,9,9,6,3,9,9,8,94,LIGHT,"[10401, 20105, 70102, 70202, 90203]",EXTERNAL_CSV,0.9
95.0,8,8,6,3,9,9,8,92,LIGHT,"[20105, 10404, 70201]",EXTERNAL_CSV,0.9
96.0,9,9,6,3,9,9,8,94,LIGHT,"[70201, 20105, 90203, 10102]",EXTERNAL_CSV,0.9
97.0,9,9,6,4,9,9,8,94,LIGHT,"[10404, 60101, 90103, 70201, 70202]",EXTERNAL_CSV,0.9
98.0,8,8,6,6,8,9,8,91,MEDIUM,"[10402, 802, 20105, 70102, 70201]",EXTERNAL_CSV,0.9
99.0,8,8,6,3,9,9,8,92,LIGHT,"[10401, 20105, 70202, 70103, 10202]",EXTERNAL_CSV,0.9
100.0,9,9,7,2,9,9,8,94,LIGHT,"[104, 80104, 70103, 90203, 10301]",EXTERNAL_CSV,0.9
101.0,9,9,6,3,9,9,9,95,LIGHT,"[10401, 20105, 10101, 70201, 90203]",EXTERNAL_CSV,0.9
102.0,9,9,6,2,9,9,8,94,LIGHT,"[10304, 20101, 20105, 70103, 90201]",EXTERNAL_CSV,0.9
103.0,9,9,7,3,9,9,8,94,LIGHT,"[10404, 80104, 20201, 10103, 70201]",EXTERNAL_CSV,0.9
104.0,9,8,7,3,9,9,8,93,LIGHT,"[10104, 70201, 10403, 80103]",EXTERNAL_CSV,0.9
105.0,8,9,8,3,8,8,8,91,LIGHT,"[80104, 70201, 70102, 80103]",EXTERNAL_CSV,0.9
106.0,8,9,6,3,9,9,8,93,LIGHT,"[10402, 902, 20105, 70103, 70201]",EXTERNAL_CSV,0.9
107.0,8,8,7,3,8,8,8,90,LIGHT,"[801, 70102, 10104, 70201, 90203]",EXTERNAL_CSV,0.9
108.0,8,9,8,3,9,9,8,93,LIGHT,"[80104, 70202, 40104, 80103]",EXTERNAL_CSV,0.9
109.0,8,9,7,3,9,9,8,93,LIGHT,"[10402, 20101, 80104, 20105, 70201]",EXTERNAL_CSV,0.9
110.0,9,8,6,3,9,9,8,93,LIGHT,"[10403, 20105, 10103, 70103, 70201]",EXTERNAL_CSV,0.9
111.0,8,9,6,3,9,9,8,93,LIGHT,"[90201, 70202, 70103, 10202]",EXTERNAL_CSV,0.9
112.0,8,8,6,3,9,9,8,92,LIGHT,"[30305, 10402, 70202, 70103, 10202]",EXTERNAL_CSV,0.9
113.0,8,8,7,3,9,9,8,92,LIGHT,"[80103, 70201, 70102, 90201, 10201]",EXTERNAL_CSV,0.9
114.0,9,8,8,3,9,9,8,93,LIGHT,"[80101, 80103, 60302, 70101, 70201]",EXTERNAL_CSV,0.9
115.0,9,9,6,3,9,9,9,95,LIGHT,"[10401, 10402, 70201, 10201, 90202]",EXTERNAL_CSV,0.9
116.0,8,8,6,5,8,9,8,91,MEDIUM,"[80104, 10201, 20105, 70102]",EXTERNAL_CSV,0.9
117.0,9,8,6,3,9,9,8,93,LIGHT,"[20105, 301, 10101, 70201, 90203]",EXTERNAL_CSV,0.9
118.0,9,9,7,2,9,9,8,94,LIGHT,"[80103, 20203, 70103, 10104, 90201]",EXTERNAL_CSV,0.9
119.0,8,9,6,3,9,9,8,93,LIGHT,"[20105, 90202, 10403, 502]",EXTERNAL_CSV,0.9
120.0,8,8,6,6,9,9,8,92,MEDIUM,"[801, 20105, 70102, 70201, 90202]",EXTERNAL_CSV,0.9
121.0,9,9,6,3,9,9,9,95,LIGHT,"[20105, 70103, 70202, 10303]",EXTERNAL_CSV,0.9
122.0,9,9,7,3,9,9,8,94,LIGHT,"[10402, 80104, 70201, 10202, 90203]",EXTERNAL_CSV,0.9
123.0,8,9,6,3,9,8,7,91,LIGHT,"[20101, 40102, 20105, 40202, 70102, 70201]",EXTERNAL_CSV,0.9
124.0,9,8,7,3,9,9,8,93,LIGHT,"[10401, 80104, 20105, 70102, 70201]",EXTERNAL_CSV,0.9
125.0,9,9,7,2,9,9,8,94,LIGHT,"[30305, 10403, 80102, 20105, 10104]",EXTERNAL_CSV,0.9
126.0,9,8,6,2,9,9,8,93,LIGHT,"[10402, 20105, 60303, 90201, 10303]",EXTERNAL_CSV,0.9
127.0,9,8,8,2,9,9,8,93,LIGHT,"[801, 10403, 80101, 10101, 70103]",EXTERNAL_CSV,0.9
128.0,9,8,7,2,9,9,8,93,LIGHT,"[10308, 80102, 20105, 90202, 702]",EXTERNAL_CSV,0.9
129.0,9,9,7,3,9,9,8,94,LIGHT,"[80101, 10408, 20105, 70103, 70201]",EXTERNAL_CSV,0.9
130.0,8,8,7,3,8,8,8,90,LIGHT,"[10305, 20101, 80102, 20105, 70202]",EXTERNAL_CSV,0.9
131.0,9,8,6,2,9,9,8,93,LIGHT,"[10403, 40104, 20105, 70103, 10202]",EXTERNAL_CSV,0.9
132.0,8,9,7,3,9,8,7,91,LIGHT,"[10402, 80103, 70102, 70201, 90202]",EXTERNAL_CSV,0.9
133.0,8,8,6,2,9,9,8,92,LIGHT,"[10401, 20101, 40104, 70101, 90202]",EXTERNAL_CSV,0.9
134.0,8,8,6,2,8,9,8,91,LIGHT,"[30305, 10403, 20105, 70101, 70102]",EXTERNAL_CSV,0.9
135.0,8,8,7,3,9,9,7,91,LIGHT,"[10402, 80104, 20105, 70101, 70201]",EXTERNAL_CSV,0.9
136.0,9,9,7,3,9,9,9,95,LIGHT,"[70201, 20105, 80103, 10303]",EXTERNAL_CSV,0.9
137.0,9,8,7,3,9,9,8,93,LIGHT,"[10401, 10307, 80104, 70201, 90201]",EXTERNAL_CSV,0.9
138.0,8,8,7,3,9,9,8,92,LIGHT,"[804, 902, 20203, 10104, 70202]",EXTERNAL_CSV,0.9
